x,exp_regime_III
19.206,6.822
24.528,4.6266
27.377,10.667
30.614,2.1644
31.002,0.60815
31.674,6.4952
35.26,0.23275
43.133,3.4912
44.464,0.61649
44.627,10.641
51.376,2.0928
52.861,4.5375
68.261,6.57
71.967,3.324
77.2,1.9936
88.715,4.2536
95.064,10.436
105.134,0.9918
110.685,3.2155
114.558,6.2555
138.847,4.0512
147.191,3.1615
159.992,0.24569
160.472,9.783
174.16,5.8672
182.51,3.9834
227.71,2.9194
230.26,5.5929
249.7,9.318
283.98,3.7356
330.14,8.746
366.72,5.3263
450.11,0.9843
479.82,1.0632
519.7,8.459
522.46,16.716
