x,exp_regime_II
5.0615,46.113
5.2102,54.665
5.4285,35.43
5.6194,55.496
5.622,30.343
6.315,34.858
6.3854,71.05
6.8492,46.759
6.8517,29.388
7.0082,71.01
7.6514,34.289
7.6933,55.406
7.9212,47.453
8.2458,99.74
8.8458,56.23
8.9004,35.891
8.9967,112.84
8.9977,98.17
9.3739,70.91
9.5977,46.677
9.76,112.79
10.2939,34.77
10.7804,55.309
10.8411,71.96
11.1648,46.641
12.3242,51.952
12.5452,34.201
13.0635,46.603
15.8282,45.842
16.305,21.137
16.7822,28.803
18.851,32.581
20.572,28.773
23.107,33.054
23.373,43.002
24.643,20.135
29.668,43.62
31.091,28.27
34.924,31.487
42.577,20.078
